AVATAR_ADVENTURER_NAME;福咕嚕
AVATAR_AURORA_NAME;奧羅拉
AVATAR_BASIC_NAME;探索者
AVATAR_BLUE_ELEMENTAL_1_NAME;蔚藍精靈
AVATAR_BLUE_ELEMENTAL_2_NAME;蔚藍巨靈
AVATAR_BLUE_ELEMENTAL_3_NAME;蔚藍靈妖
AVATAR_BOMB_SLINGER_NAME;Bom-R
AVATAR_CAP_10_NAME;CAP-10
AVATAR_DARK_WISP_NAME;闇影幽光
AVATAR_FUGORO_NAME;福咕嚕
AVATAR_GREEN_ELEMENTAL_1_NAME;茂綠精靈
AVATAR_GREEN_ELEMENTAL_2_NAME;茂綠巨靈
AVATAR_GREEN_ELEMENTAL_3_NAME;翠綠靈妖
AVATAR_HOAKA_NAME;霍卡
AVATAR_JALMYR_NAME;亞米爾
AVATAR_KAIOS_NAME;凱歐思
AVATAR_KELDRAN_EMISSARY_NAME;御風密使
AVATAR_KHALIM_NAME;哈里姆
AVATAR_KINGS_GUARD_NAME;巴利亞
AVATAR_KOBOLD_MERCENARY_NAME;黑幫老大
AVATAR_KROG_NAME;克羅格
AVATAR_MAGDA_NAME;瑪戈妲
AVATAR_OGRE_BATTLER_NAME;食人魔勇士
AVATAR_RAIZEON_NAME;雷澤恩
AVATAR_RAPALA_NAME;拉帕拉
AVATAR_RED_ELEMENTAL_1_NAME;緋紅精靈
AVATAR_RED_ELEMENTAL_2_NAME;緋紅巨靈
AVATAR_RED_ELEMENTAL_3_NAME;緋紅靈妖
AVATAR_RUUNIN_NAME;茹妮
AVATAR_SAGAMI_ELDER_NAME;薩迦密
AVATAR_SEIFER_NAME;塞弗
AVATAR_SHARRA_NAME;薩拉
AVATAR_SHAYTAN_ASSASSIN_NAME;撒但刺客
AVATAR_TAESA_NAME;加百列女巫
AVATAR_TARANGA_NAME;塔藍佳
AVATAR_TARUM_NAME;塔倫
AVATAR_THE_EGG_NAME;龍蛋
AVATAR_ULANI_NAME;烏拉妮
AVATAR_VERDURAN_FORCE_NAME;翠綠支配者
AVATAR_YAKKAR_NAME;氂牛菁英
AVATAR_YAK_CYNICAL_NAME;陰沉氂牛
AVATAR_YAK_DRAGON_NAME;法夫納
AVATAR_YAK_FANCY_NAME;雅克頓爵士
AVATAR_YAK_FARMER_NAME;稻草先生
AVATAR_YAK_FAT_NAME;毛絨絨
AVATAR_YAK_FORCER_NAME;氂牛警長
AVATAR_YAK_HIPPIE_NAME;和平主義者
AVATAR_YAK_KING_NAME;王者雅克納斯
AVATAR_YAK_PIRATE_NAME;雅客史派羅
AVATAR_YELLOW_ELEMENTAL_1_NAME;荒蕪精靈
