CARD_0001_BODY;Während sie auf den Feldern arbeiten, träumen junge Sylander oftmals davon, auf heroische Abenteuer zu gehen. Wenn sie die Chance auf ein solches Abenteuer erhalten, überleben leider nur die wenigsten den ersten Tag.
CARD_0022_BODY;Jene, die in den Städten von Mîrnast leben sind oft bereit ihre Traditionen und Freiheit für den Komfort und die Sicherheit der technischen Wunder des Imperiums aufzugeben. Die Landbevölkerung folgt nobleren idealen, und kämpfen weiterhin im Namen des Friedens gegen den Imperator.
CARD_0024_BODY;Die Imperialen lachten als die Rebellen den Falken als ihr Symbol wählten, aber sie haben schnell gelernt den Schrei der trainierten Falken zu fürchten.
CARD_0030_BODY;Die friedlichen Yaks können beinahe überall gefunden werden wo es Grass gibt. Farmer schließen oft Freundschaften mit den lokalen Yaks, indem sie den Tieren Heu und ein Dach über dem Kopf anbieten, und dafür unterstützung beim ziehen ihrer Wagen und Pflüge bekommen.
CARD_0034_BODY;Dank ihrer vielen Freunde hat Königin Magda Kontrolle über einen großen Teil des Justizsystem in Meroval. Im Gegenzug für ihre Loyalität beschützt die Königing ihre Günstlinge vor rechtlichen Konsequenzen für illegale Aktivitäten, denen sie beiwohnen.
CARD_0036_BODY;Sie ist der Samthandschuh zu der eisernen Faust ihres Mannes, jedoch geht keine Liebe verloren in einer Ehe, die sich nur um Politik drehte. Während Magnus den Respekt der ritterlichen Orden und des gemeinen Volkes kontrolliert, kontrolliert Magda die oberen Ränge der Gesellschaft mit Bestechungen, Spionen und gelegentlichen Attentaten.
CARD_0040_BODY;Bekannt als der "Fuchs des Gletschers" ist der listige König 193. Herrscher von Meroval. In den 4000 Jahren seit der Gründung des Königreiches hat der Große Weiße Hirsch der merovianischen Famile immer über der Obsidianfestung geweht.
CARD_0043_BODY;Nachdem sie ihre Familie bei einem Überfall verloren hatte, wurde Sharra von einem mysteriösen Meister adoptiert, dem Anführer der verschwiegenen Drachenjäger. Nach vielen Jahren des Trainings wurde sie zum geschicktesten Jäger des Ordens und vom Meister in die Welt gesandt worden, um den sagenhaften "Tag der Drachen" zu verhindern, indem sie so viele hinrichtet wie sie nur kann.
CARD_0047_BODY;In der Stadt von Mîrnast, wo der Imperator auf seinem goldenen Thron regiert, gibt es einen kleinen, überwucherten Park. In dessen Mitte, erstickt von Gräsern und Ranken, steht eine Statue einer Frau. Seltsam, schön und leuchtend. In den Stein radiert, versteckt unter dem Staub von Äonen, stehen die Worte "Laya, Dame des Kummers".
CARD_0051_BODY;Einst das Rückgrat der imperialen Armee, patrollieren die Vollstrecker nun die Ländereien von Mîrnast. Obwohl sie dort offiziell zum Schutz vor Überfällen der Tiki und der Oradrim sind, werden sie öfter benutzt um Meinungsverschiedenheiten auszumerzen oder Rebellenstützpunkte aufzustöbern.
CARD_0052_BODY;Jeder des merovianischen Adelsgeschlechts gehört dem einen oder anderen ritterlichen Orden an, allerdings gehören nur die geschicktesten und verschriebensten dem Orden Merovals an, welcher beauftragt ist, das Leben und die Geheimnisse des Königs zu schützen.
CARD_0053_BODY;Es ist prophezeit, dass eines Tages die Drachen sich vereinen würden und die Welt von dem Schandfleck der Menschheit reinigen. Während die Menschen die Prophezeiung fürchten und sie vermeiden wollen, erwarten die meisten anderen Rassen den Tag freudig.
CARD_0056_BODY;Im Machtkampf zwischen Magnus und Magda versucht Thulgar beide Seiten auszutricksen. Er hofft, dass sie sich eines Tages gegenseitig zerstören würden, damit er den Thron für sich hat. Er weiß jedoch nicht, dass beide Monarchen von seinen Machenschaften wissen und eine Übereinkunft haben, Thulgar und seine Hoffnungen mit bedeutungslosen Aufgaben in Schach zu halten.
CARD_0060_BODY;Mit ihrer Kontrolle über die Gerichte in Meroval ist es nicht schwer für Königin Magda jemanden legal hinzurichten. Für den seltenen Fall, dass sie es nicht kann, hat sie jedoch viele andere Optionen.
CARD_0064_BODY;Der Hunger des Imperators nach Ressourcen ist so allverschlingend, dass sie oftmals das Faeria eines Gebietes komplett aufbrauchen ohne einen Gedanken an das Land oder dessen Einwohner zu verschwenden.
